Time(s),Gyro Reading,Command
0.0,0.004,Hold Position
0.1,0.252,Hold Position
0.2,0.526,Stabilize Yaw
0.3,0.805,Activate Dampers
0.4,0.936,Activate Dampers
0.5,0.873,Activate Dampers
0.6,1.206,Activate Dampers
0.7,0.792,Stabilize Yaw
0.8,0.606,Stabilize Yaw
0.9,0.387,Stabilize Yaw
1.0,-0.180,Hold Position
1.1,-0.350,Stabilize Yaw
1.2,-0.549,Stabilize Yaw
1.3,-0.675,Stabilize Yaw
1.4,-1.049,Activate Dampers
1.5,-0.865,Activate Dampers
1.6,-0.936,Activate Dampers
1.7,-0.953,Activate Dampers
1.8,-0.697,Stabilize Yaw
1.9,-0.163,Hold Position
2.0,-0.118,Hold Position
2.1,0.106,Hold Position
2.2,0.416,Stabilize Yaw
2.3,0.901,Activate Dampers
2.4,0.842,Activate Dampers
2.5,1.021,Activate Dampers
2.6,0.820,Activate Dampers
2.7,0.764,Stabilize Yaw
2.8,0.557,Stabilize Yaw
2.9,0.323,Stabilize Yaw
3.0,0.156,Hold Position
3.1,-0.385,Stabilize Yaw
3.2,-0.698,Stabilize Yaw
3.3,-0.846,Activate Dampers
3.4,-0.820,Activate Dampers
3.5,-0.996,Activate Dampers
3.6,-0.954,Activate Dampers
3.7,-0.819,Activate Dampers
3.8,-0.623,Stabilize Yaw
3.9,-0.093,Hold Position
4.0,-0.011,Hold Position
4.1,0.485,Stabilize Yaw
4.2,0.821,Activate Dampers
4.3,0.724,Stabilize Yaw
4.4,0.889,Activate Dampers
4.5,1.018,Activate Dampers
4.6,0.971,Activate Dampers
4.7,0.729,Stabilize Yaw
4.8,0.536,Stabilize Yaw
4.9,0.384,Stabilize Yaw
5.0,0.095,Hold Position
5.1,-0.454,Stabilize Yaw
5.2,-0.550,Stabilize Yaw
5.3,-0.841,Activate Dampers
5.4,-1.004,Activate Dampers
5.5,-1.118,Activate Dampers
5.6,-0.974,Activate Dampers
5.7,-0.938,Activate Dampers
5.8,-0.571,Stabilize Yaw
5.9,-0.170,Hold Position
6.0,-0.030,Hold Position
6.1,0.133,Hold Position
6.2,0.701,Stabilize Yaw
6.3,0.905,Activate Dampers
6.4,0.848,Activate Dampers
6.5,0.892,Activate Dampers
6.6,1.081,Activate Dampers
6.7,0.883,Activate Dampers
6.8,0.510,Stabilize Yaw
6.9,0.297,Hold Position
7.0,-0.107,Hold Position
7.1,-0.490,Stabilize Yaw
7.2,-0.681,Stabilize Yaw
7.3,-0.942,Activate Dampers
7.4,-0.960,Activate Dampers
7.5,-0.879,Activate Dampers
7.6,-0.846,Activate Dampers
7.7,-0.748,Stabilize Yaw
7.8,-0.538,Stabilize Yaw
7.9,-0.310,Stabilize Yaw
8.0,-0.089,Hold Position
8.1,0.323,Stabilize Yaw
8.2,0.553,Stabilize Yaw
8.3,0.545,Stabilize Yaw
8.4,0.967,Activate Dampers
8.5,1.242,Activate Dampers
8.6,1.029,Activate Dampers
8.7,0.797,Stabilize Yaw
8.8,0.747,Stabilize Yaw
8.9,0.155,Hold Position
9.0,0.082,Hold Position
9.1,-0.403,Stabilize Yaw
9.2,-0.660,Stabilize Yaw
9.3,-0.854,Activate Dampers
9.4,-0.869,Activate Dampers
9.5,-1.084,Activate Dampers
9.6,-0.946,Activate Dampers
9.7,-1.082,Activate Dampers
9.8,-0.581,Stabilize Yaw
9.9,-0.180,Hold Position
